Data;Wojewodztwo;Liczba wykonanych testów
16.04.2020;Opolskie;96
16.04.2020;Podkarpackie;280
16.04.2020;Podlaskie;429
16.04.2020;Pomorskie;858
16.04.2020;Śląskie;807
16.04.2020;Świętokrzyskie;235
16.04.2020;Warmińsko-Mazurskie;450
16.04.2020;Wielkopolskie;1251
16.04.2020;Zachodniopomorskie;270
17.04.2020;Dolnośląskie;826
17.04.2020;Kujawsko-Pomorskie;231
17.04.2020;Lubelskie;485
17.04.2020;Lubuskie;76
17.04.2020;Łódzkie;990
17.04.2020;Małopolskie;947
17.04.2020;Mazowieckie;5316
17.04.2020;Opolskie;110
17.04.2020;Podkarpackie;234
17.04.2020;Podlaskie;697
17.04.2020;Pomorskie;939
17.04.2020;Śląskie;1017
17.04.2020;Świętokrzyskie;242
17.04.2020;Warmińsko-Mazurskie;416
17.04.2020;Wielkopolskie;772
17.04.2020;Zachodniopomorskie;246
18.04.2020;Dolnośląskie;1062
18.04.2020;Kujawsko-Pomorskie;492
18.04.2020;Lubelskie;401
18.04.2020;Lubuskie;52
18.04.2020;Łódzkie;775
18.04.2020;Małopolskie;1127
18.04.2020;Mazowieckie;3871
18.04.2020;Opolskie;118
18.04.2020;Podkarpackie;277
18.04.2020;Podlaskie;659
18.04.2020;Pomorskie;962
18.04.2020;Śląskie;1117
18.04.2020;Świętokrzyskie;549
18.04.2020;Warmińsko-Mazurskie;418
18.04.2020;Wielkopolskie;1269
18.04.2020;Zachodniopomorskie;358
19.04.2020;Dolnośląskie;751
19.04.2020;Kujawsko-Pomorskie;453
19.04.2020;Lubelskie;286
19.04.2020;Lubuskie;155
19.04.2020;Łódzkie;440
19.04.2020;Małopolskie;948
19.04.2020;Mazowieckie;1397
19.04.2020;Opolskie;91
19.04.2020;Podkarpackie;168
19.04.2020;Podlaskie;491
19.04.2020;Pomorskie;614
19.04.2020;Śląskie;987
19.04.2020;Świętokrzyskie;177
19.04.2020;Warmińsko-Mazurskie;224
19.04.2020;Wielkopolskie;1073
19.04.2020;Zachodniopomorskie;244
20.04.2020;Dolnośląskie;407
20.04.2020;Kujawsko-Pomorskie;373
20.04.2020;Lubelskie;391
20.04.2020;Lubuskie;48
20.04.2020;Łódzkie;542
20.04.2020;Małopolskie;357
20.04.2020;Mazowieckie;2073
20.04.2020;Opolskie;134
20.04.2020;Podkarpackie;141
20.04.2020;Podlaskie;475
20.04.2020;Pomorskie;851
20.04.2020;Śląskie;1164
20.04.2020;Świętokrzyskie;522
20.04.2020;Warmińsko-Mazurskie;339
20.04.2020;Wielkopolskie;874
20.04.2020;Zachodniopomorskie;276
21.04.2020;Dolnośląskie;1294
21.04.2020;Kujawsko-Pomorskie;631
21.04.2020;Lubelskie;364
21.04.2020;Lubuskie;90
21.04.2020;Łódzkie;807
21.04.2020;Małopolskie;1100
21.04.2020;Mazowieckie;4077
21.04.2020;Opolskie;110
21.04.2020;Podkarpackie;214
21.04.2020;Podlaskie;370
21.04.2020;Pomorskie;783
21.04.2020;Śląskie;933
21.04.2020;Świętokrzyskie;295
21.04.2020;Warmińsko-Mazurskie;561
21.04.2020;Wielkopolskie;782
21.04.2020;Zachodniopomorskie;299
22.04.2020;Dolnośląskie;753
22.04.2020;Kujawsko-Pomorskie;533
22.04.2020;Lubelskie;282
22.04.2020;Lubuskie;74
22.04.2020;Łódzkie;712
22.04.2020;Małopolskie;1215
22.04.2020;Mazowieckie;4508
22.04.2020;Opolskie;110
22.04.2020;Podkarpackie;134
22.04.2020;Podlaskie;313
22.04.2020;Pomorskie;1097
22.04.2020;Śląskie;1065
22.04.2020;Świętokrzyskie;237
22.04.2020;Warmińsko-Mazurskie;658
22.04.2020;Wielkopolskie;1256
22.04.2020;Zachodniopomorskie;337
23.04.2020;Dolnośląskie;498
23.04.2020;Kujawsko-Pomorskie;475
23.04.2020;Lubelskie;417
23.04.2020;Lubuskie;136
23.04.2020;Łódzkie;1038
23.04.2020;Małopolskie;1401
23.04.2020;Mazowieckie;5244
23.04.2020;Opolskie;142
23.04.2020;Podkarpackie;295
23.04.2020;Podlaskie;275
23.04.2020;Pomorskie;1022
23.04.2020;Śląskie;904
23.04.2020;Świętokrzyskie;284
23.04.2020;Warmińsko-Mazurskie;625
23.04.2020;Wielkopolskie;1195
23.04.2020;Zachodniopomorskie;489
24.04.2020;Dolnośląskie;1114
24.04.2020;Kujawsko-Pomorskie;707
24.04.2020;Lubelskie;345
24.04.2020;Lubuskie;158
24.04.2020;Łódzkie;735
24.04.2020;Małopolskie;1389
24.04.2020;Mazowieckie;3364
24.04.2020;Opolskie;124
24.04.2020;Podkarpackie;417
24.04.2020;Podlaskie;428
24.04.2020;Pomorskie;744
24.04.2020;Śląskie;1541
24.04.2020;Świętokrzyskie;318
24.04.2020;Warmińsko-Mazurskie;569
24.04.2020;Wielkopolskie;991
